FID,OBJECTID_1,OBJECTID,Id,Row,Col,District_1,NSM_Active,NSM_Col,NSM_ROCO,SFWMM_Acti,SFWMM_Col,SFWMM_ROCO,LOK_Active,cell_area,Xcoord,Ycoord,rowco,Shape_Leng,Shape_Area,rf_active
138,339,339,0,5,59,5059,0,0,0,0,0,0,0,0,860128.0000000,339557.0000000,5059,42240.162895399997000,111514460.090000000000000,0
139,340,340,0,5,60,5060,0,0,0,0,0,0,0,0,870688.0000000,339557.0000000,5060,42240.152724799998000,111514406.388000000000000,0
140,341,341,0,5,61,5061,0,0,0,0,0,0,0,0,881248.0000000,339557.0000000,5061,42240.141569899999000,111514347.491000000000000,0
141,342,342,0,5,62,5062,0,0,0,0,0,0,0,0,891809.0000000,339557.0000000,5062,42240.131727400003000,111514295.522000000000000,0
142,343,343,0,5,63,5063,0,0,0,0,0,0,0,0,902369.0000000,339557.0000000,5063,42240.309548400000000,111515234.419000000000000,0
143,344,344,0,5,64,5064,0,0,0,0,0,0,0,0,912929.0000000,339557.0000000,5064,42240.674048800000000,111517158.986000000000000,0
144,345,345,0,5,65,5065,0,0,0,0,0,0,0,0,923489.0000000,339557.0000000,5065,42240.678970000001000,111517184.971000000000000,0
145,346,346,0,5,66,5066,0,0,0,0,0,0,0,0,934049.0000000,339557.0000000,5066,42240.683891200002000,111517210.955000000000000,0
146,347,347,0,5,67,5067,0,0,0,0,0,0,0,0,944610.0000000,339557.0000000,5067,42240.688812499997000,111517236.940000000000000,0
147,348,348,0,5,68,5068,0,0,0,0,0,0,0,0,955170.0000000,339557.0000000,5068,42240.694061800001000,111517264.657000010000000,0
148,349,349,0,5,69,5069,0,0,0,0,0,0,0,0,965730.0000000,339557.0000000,5069,42240.699311099997000,111517292.374000000000000,0
149,350,350,0,5,70,5070,0,0,0,0,0,0,0,0,976291.0000000,339557.0000000,5070,42240.703904399998000,111517316.626000000000000,0
150,391,391,0,6,41,6041,0,0,0,0,0,0,0,0,670047.0000000,350119.0000000,6041,42240.361058800001000,111515506.398000000000000,1
151,392,392,0,6,42,6042,1,13,6013,1,13,6013,0,0,680607.0000000,350119.0000000,6042,42240.358434100002000,111515492.539000000000000,1
152,393,393,0,6,43,6043,1,14,6014,1,14,6014,0,0,691168.0000000,350119.0000000,6043,42240.355153199998000,111515475.216000010000000,1
153,394,394,0,6,44,6044,1,15,6015,1,15,6015,0,0,701728.0000000,350118.0000000,6044,42240.351872300002000,111515457.893000010000000,1
154,395,395,0,6,45,6045,1,16,6016,1,16,6016,0,0,712288.0000000,350118.0000000,6045,42240.349247600003000,111515444.033999990000000,1
155,396,396,0,6,46,6046,1,17,6017,1,17,6017,0,0,722848.0000000,350118.0000000,6046,42240.346294800001000,111515428.443000000000000,1
156,397,397,0,6,47,6047,1,18,6018,1,18,6018,0,0,733408.0000000,350118.0000000,6047,42240.343342000000000,111515412.853000000000000,1
157,398,398,0,6,48,6048,1,19,6019,1,19,6019,0,0,743968.0000000,350118.0000000,6048,42240.203578200002000,111514674.895000000000000,1
158,399,399,0,6,49,6049,1,20,6020,1,20,6020,0,0,754528.0000000,350118.0000000,6049,42240.203578200002000,111514674.895000000000000,1
159,400,400,0,6,50,6050,1,21,6021,1,21,6021,0,0,765088.0000000,350118.0000000,6050,42240.203906199997000,111514676.627000000000000,1
160,401,401,0,6,51,6051,1,22,6022,1,22,6022,0,0,775648.0000000,350118.0000000,6051,42240.205218499999000,111514683.555999990000000,1
161,402,402,0,6,52,6052,1,23,6023,1,23,6023,0,0,786208.0000000,350118.0000000,6052,42240.205874599997000,111514687.020000000000000,1
162,403,403,0,6,53,6053,1,24,6024,1,24,6024,0,0,796768.0000000,350118.0000000,6053,42240.207186899999000,111514693.949000000000000,1
163,404,404,0,6,54,6054,1,25,6025,1,25,6025,0,0,807328.0000000,350118.0000000,6054,42240.207515000002000,111514695.682000000000000,1
164,405,405,0,6,55,6055,1,26,6026,1,26,6026,0,0,817888.0000000,350118.0000000,6055,42240.205546500001000,111514685.288000000000000,1
165,406,406,0,6,56,6056,1,27,6027,1,27,6027,0,0,828448.0000000,350118.0000000,6056,42240.185533399999000,111514579.618000000000000,1
166,407,407,0,6,57,6057,1,28,6028,1,28,6028,0,0,839008.0000000,350118.0000000,6057,42240.174706600003000,111514522.452999990000000,1
167,408,408,0,6,58,6058,1,29,6029,1,29,6029,0,0,849568.0000000,350118.0000000,6058,42240.163879799999000,111514465.287000000000000,1
168,409,409,0,6,59,6059,1,30,6030,1,30,6030,0,0,860128.0000000,350117.0000000,6059,42240.153709200000000,111514411.586000000000000,1
