OBJECTID_1,OBJECTID,Id,Row,Col,District_1,NSM_Active,NSM_Col,NSM_ROCO,SFWMM_Acti,SFWMM_Col,SFWMM_ROCO,LOK_Active,cell_area,Xcoord,Ycoord,rowco,Shape_Length,Shape_Area,rf_active
264,264,0,4,54,4054,1,25,4025,1,25,4025,0,0,0.0000000,0.0000000,4054,42240.066110960259000,111513949.065473410000000,1
265,265,0,4,55,4055,1,26,4026,1,26,4026,0,0,0.0000000,0.0000000,4055,42240.048722577529000,111513857.254374240000000,1
266,266,0,4,56,4056,1,27,4027,1,27,4027,0,0,0.0000000,0.0000000,4056,42240.052331396153000,111513876.308769390000000,1
267,267,0,4,57,4057,0,0,0,0,0,0,0,0,0.0000000,0.0000000,4057,42240.054299706499000,111513886.701452610000000,0
268,268,0,4,58,4058,0,0,0,0,0,0,0,0,0.0000000,0.0000000,4058,42240.055611921998000,111513893.629561050000000,0
269,269,0,4,59,4059,0,0,0,0,0,0,0,0,0.0000000,0.0000000,4059,42240.057252289094000,111513902.289932670000000,0
270,270,0,4,60,4060,0,0,0,0,0,0,0,0,0.0000000,0.0000000,4060,42240.059548887970000,111513914.414804030000000,0
271,271,0,4,61,4061,0,0,0,0,0,0,0,0,0.0000000,0.0000000,4061,42240.061517490889000,111513924.807435110000000,0
272,272,0,4,62,4062,0,0,0,0,0,0,0,0,0.0000000,0.0000000,4062,42240.064142337353000,111513938.664613430000000,0
273,273,0,4,63,4063,0,0,0,0,0,0,0,0,0.0000000,0.0000000,4063,42240.247869127554000,111514908.740128190000000,0
274,274,0,4,64,4064,0,0,0,0,0,0,0,0,0.0000000,0.0000000,4064,42240.618275256071000,111516864.484176530000000,0
275,275,0,4,65,4065,0,0,0,0,0,0,0,0,0.0000000,0.0000000,4065,42240.627461714881000,111516912.989240810000000,0
276,276,0,4,66,4066,0,0,0,0,0,0,0,0,0.0000000,0.0000000,4066,42240.636976279107000,111516963.226679890000000,0
277,277,0,4,67,4067,0,0,0,0,0,0,0,0,0.0000000,0.0000000,4067,42240.646162766388000,111517011.731826200000000,0
278,278,0,4,68,4068,0,0,0,0,0,0,0,0,0.0000000,0.0000000,4068,42240.655021180501000,111517058.504575600000000,0
279,279,0,4,69,4069,0,0,0,0,0,0,0,0,0.0000000,0.0000000,4069,42240.664535769552000,111517108.742070960000000,0
280,280,0,4,70,4070,0,0,0,0,0,0,0,0,0.0000000,0.0000000,4070,42240.675034608961000,111517164.176444350000000,0
321,321,0,5,41,5041,0,0,0,0,0,0,0,0,0.0000000,0.0000000,5041,42240.367620428478000,111515541.043668170000000,1
322,322,0,5,42,5042,1,13,5013,1,13,5013,0,0,0.0000000,0.0000000,5042,42240.364995721131000,111515527.185111850000000,1
323,323,0,5,43,5043,1,14,5014,1,14,5014,0,0,0.0000000,0.0000000,5043,42240.360730577231000,111515504.664976280000000,1
324,324,0,5,44,5044,1,15,5015,1,15,5015,0,0,0.0000000,0.0000000,5044,42240.358105861698000,111515490.806364830000000,1
325,325,0,5,45,5045,1,16,5016,1,16,5016,0,0,0.0000000,0.0000000,5045,42240.355481159801000,111515476.947823420000000,1
326,326,0,5,46,5046,1,17,5017,1,17,5017,0,0,0.0000000,0.0000000,5046,42240.352528348856000,111515461.356843290000000,1
327,327,0,5,47,5047,1,18,5018,1,18,5018,0,0,0.0000000,0.0000000,5047,42240.349247471509000,111515444.033653690000000,1
328,328,0,5,48,5048,1,19,5019,1,19,5019,0,0,0.0000000,0.0000000,5048,42240.208499426117000,111514700.879246010000000,1
329,329,0,5,49,5049,1,20,5020,1,20,5020,0,0,0.0000000,0.0000000,5049,42240.208171306716000,111514699.146792080000000,1
330,330,0,5,50,5050,1,21,5021,1,21,5021,0,0,0.0000000,0.0000000,5050,42240.208827438393000,111514702.611215380000000,1
331,331,0,5,51,5051,1,22,5022,1,22,5022,0,0,0.0000000,0.0000000,5051,42240.209811673034000,111514707.808040450000000,1
332,332,0,5,52,5052,1,23,5023,1,23,5023,0,0,0.0000000,0.0000000,5052,42240.210467809200000,111514711.272485120000000,1
333,333,0,5,53,5053,1,24,5024,1,24,5024,0,0,0.0000000,0.0000000,5053,42240.212108199325000,111514719.933824290000000,1
334,334,0,5,54,5054,1,25,5025,1,25,5025,0,0,0.0000000,0.0000000,5054,42240.212436241272000,111514721.665913240000000,1
335,335,0,5,55,5055,1,26,5026,1,26,5026,0,0,0.0000000,0.0000000,5055,42240.210467714976000,111514711.272057130000000,1
336,336,0,5,56,5056,1,27,5027,1,27,5027,0,0,0.0000000,0.0000000,5056,42240.193407323262000,111514621.192739700000000,1
337,337,0,5,57,5057,1,28,5028,1,28,5028,0,0,0.0000000,0.0000000,5057,42240.183236689612000,111514567.491658840000000,1
338,338,0,5,58,5058,1,29,5029,1,29,5029,0,0,0.0000000,0.0000000,5058,42240.172409897168000,111514510.326024470000000,1
339,339,0,5,59,5059,0,0,0,0,0,0,0,0,0.0000000,0.0000000,5059,42240.162895441914000,111514460.089549420000000,0
340,340,0,5,60,5060,0,0,0,0,0,0,0,0,0.0000000,0.0000000,5060,42240.152724805535000,111514406.388409820000000,0
341,341,0,5,61,5061,0,0,0,0,0,0,0,0,0.0000000,0.0000000,5061,42240.141569944411000,111514347.490527850000000,0
342,342,0,5,62,5062,0,0,0,0,0,0,0,0,0.0000000,0.0000000,5062,42240.131727409433000,111514295.521740290000000,0
343,343,0,5,63,5063,0,0,0,0,0,0,0,0,0.0000000,0.0000000,5063,42240.309548412435000,111515234.419072290000000,0
344,344,0,5,64,5064,0,0,0,0,0,0,0,0,0.0000000,0.0000000,5064,42240.674048812434000,111517158.985969680000000,0
345,345,0,5,65,5065,0,0,0,0,0,0,0,0,0.0000000,0.0000000,5065,42240.678970004650000,111517184.970674770000000,0
346,346,0,5,66,5066,0,0,0,0,0,0,0,0,0.0000000,0.0000000,5066,42240.683891219902000,111517210.955391530000000,0
347,347,0,5,67,5067,0,0,0,0,0,0,0,0,0.0000000,0.0000000,5067,42240.688812455213000,111517236.940108610000000,0
348,348,0,5,68,5068,0,0,0,0,0,0,0,0,0.0000000,0.0000000,5068,42240.694061791866000,111517264.657139300000000,0
349,349,0,5,69,5069,0,0,0,0,0,0,0,0,0.0000000,0.0000000,5069,42240.699311149845000,111517292.374129950000000,0
350,350,0,5,70,5070,0,0,0,0,0,0,0,0,0.0000000,0.0000000,5070,42240.703904372058000,111517316.626478460000000,0
391,391,0,6,41,6041,0,0,0,0,0,0,0,0,0.0000000,0.0000000,6041,42240.361058790448000,111515506.397993950000000,1
392,392,0,6,42,6042,1,13,6013,1,13,6013,0,0,0.0000000,0.0000000,6042,42240.358434068097000,111515492.539358750000000,1
393,393,0,6,43,6043,1,14,6014,1,14,6014,0,0,0.0000000,0.0000000,6043,42240.355153182420000,111515475.216151570000000,1
394,394,0,6,44,6044,1,15,6015,1,15,6015,0,0,0.0000000,0.0000000,6044,42240.351872299980000,111515457.892949430000000,1
395,395,0,6,45,6045,1,16,6016,1,16,6016,0,0,0.0000000,0.0000000,6045,42240.349247588536000,111515444.034362030000000,1
396,396,0,6,46,6046,1,17,6017,1,17,6017,0,0,0.0000000,0.0000000,6046,42240.346294796283000,111515428.443480420000000,1
397,397,0,6,47,6047,1,18,6018,1,18,6018,0,0,0.0000000,0.0000000,6047,42240.343342005581000,111515412.852599680000000,1
398,398,0,6,48,6048,1,19,6019,1,19,6019,0,0,0.0000000,0.0000000,6048,42240.203578171371000,111514674.894853350000000,1
399,399,0,6,49,6049,1,20,6020,1,20,6020,0,0,0.0000000,0.0000000,6049,42240.203578150598000,111514674.894782510000000,1
400,400,0,6,50,6050,1,21,6021,1,21,6021,0,0,0.0000000,0.0000000,6050,42240.203906192801000,111514676.626890750000000,1
401,401,0,6,51,6051,1,22,6022,1,22,6022,0,0,0.0000000,0.0000000,6051,42240.205218497678000,111514683.555933100000000,1
402,402,0,6,52,6052,1,23,6023,1,23,6023,0,0,0.0000000,0.0000000,6052,42240.205874626961000,111514687.020337220000000,1
403,403,0,6,53,6053,1,24,6024,1,24,6024,0,0,0.0000000,0.0000000,6053,42240.207186932676000,111514693.949381110000000,1
404,404,0,6,54,6054,1,25,6025,1,25,6025,0,0,0.0000000,0.0000000,6054,42240.207514993286000,111514695.681568580000000,1
405,405,0,6,55,6055,1,26,6026,1,26,6026,0,0,0.0000000,0.0000000,6055,42240.205546474048000,111514685.287755650000000,1
406,406,0,6,56,6056,1,27,6027,1,27,6027,0,0,0.0000000,0.0000000,6056,42240.185533384829000,111514579.618153650000000,1
407,407,0,6,57,6057,1,28,6028,1,28,6028,0,0,0.0000000,0.0000000,6057,42240.174706589518000,111514522.452524330000000,1
408,408,0,6,58,6058,1,29,6029,1,29,6029,0,0,0.0000000,0.0000000,6058,42240.163879782223000,111514465.286814470000000,1
409,409,0,6,59,6059,1,30,6030,1,30,6030,0,0,0.0000000,0.0000000,6059,42240.153709154212000,111514411.585733950000000,1
410,410,0,6,60,6060,0,0,0,0,0,0,0,0,0.0000000,0.0000000,6060,42240.143866605977000,111514359.616907210000000,0
411,411,0,6,61,6061,0,0,0,0,0,0,0,0,0.0000000,0.0000000,6061,42240.133039829423000,111514302.451315080000000,0
412,412,0,6,62,6062,0,0,0,0,0,0,0,0,0.0000000,0.0000000,6062,42240.122869205748000,111514248.750220430000000,0
413,413,0,6,63,6063,0,0,0,0,0,0,0,0,0.0000000,0.0000000,6063,42240.299049770685000,111515178.986026180000000,0
414,414,0,6,64,6064,0,0,0,0,0,0,0,0,0.0000000,0.0000000,6064,42240.651739132489000,111517041.190395910000000,0
415,415,0,6,65,6065,0,0,0,0,0,0,0,0,0.0000000,0.0000000,6065,42240.656988402799000,111517068.907354280000000,0
416,416,0,6,66,6066,0,0,0,0,0,0,0,0,0.0000000,0.0000000,6066,42240.661581535373000,111517093.159787300000000,0
417,417,0,6,67,6067,0,0,0,0,0,0,0,0,0.0000000,0.0000000,6067,42240.666830865724000,111517120.876890570000000,0
418,418,0,6,68,6068,0,0,0,0,0,0,0,0,0.0000000,0.0000000,6068,42240.671424037202000,111517145.129268880000000,0
419,419,0,6,69,6069,0,0,0,0,0,0,0,0,0.0000000,0.0000000,6069,42240.676673394555000,111517172.846264910000000,0
420,420,0,6,70,6070,0,0,0,0,0,0,0,0,0.0000000,0.0000000,6070,42240.681594699010000,111517198.831053640000000,0
461,461,0,7,41,7041,0,0,0,0,0,0,0,0,0.0000000,0.0000000,7041,42240.355481389917000,111515476.949145000000000,1
462,462,0,7,42,7042,1,13,7013,1,13,7013,0,0,0.0000000,0.0000000,7042,42240.352856679485000,111515463.090571510000000,1
463,463,0,7,43,7043,1,14,7014,1,14,7014,0,0,0.0000000,0.0000000,7043,42240.349247704005000,111515444.035040390000000,1
464,464,0,7,44,7044,1,15,7015,1,15,7015,0,0,0.0000000,0.0000000,7044,42240.346294906965000,111515428.444138930000000,1
465,465,0,7,45,7045,1,16,7016,1,16,7016,0,0,0.0000000,0.0000000,7045,42240.343014029211000,111515411.120956180000000,1
466,466,0,7,46,7046,1,17,7017,1,17,7017,0,0,0.0000000,0.0000000,7046,42240.339733149136000,111515393.797756330000000,1
467,467,0,7,47,7047,1,18,7018,1,18,7018,0,0,0.0000000,0.0000000,7047,42240.337108444233000,111515379.939187120000000,1
468,468,0,7,48,7048,1,19,7019,1,19,7019,0,0,0.0000000,0.0000000,7048,42240.198656910630000,111514648.910451320000000,1
469,469,0,7,49,7049,1,20,7020,1,20,7020,0,0,0.0000000,0.0000000,7049,42240.198328791339000,111514647.178005710000000,1
470,470,0,7,50,7050,1,21,7021,1,21,7021,0,0,0.0000000,0.0000000,7050,42240.199641095649000,111514654.107040700000000,1
471,471,0,7,51,7051,1,22,7022,1,22,7022,0,0,0.0000000,0.0000000,7051,42240.200297234842000,111514657.571511390000000,1
472,472,0,7,52,7052,1,23,7023,1,23,7023,0,0,0.0000000,0.0000000,7052,42240.200953367181000,111514661.035942700000000,1
473,473,0,7,53,7053,1,24,7024,1,24,7024,0,0,0.0000000,0.0000000,7053,42240.201937596095000,111514666.232722600000000,1
474,474,0,7,54,7054,1,25,7025,1,25,7025,0,0,0.0000000,0.0000000,7054,42240.202921818171000,111514671.429463770000000,1
475,475,0,7,55,7055,1,26,7026,1,26,7026,0,0,0.0000000,0.0000000,7055,42240.199312884200000,111514652.374228980000000,1
476,476,0,7,56,7056,1,27,7027,1,27,7027,0,0,0.0000000,0.0000000,7056,42240.176347113855000,111514531.114399970000000,1
477,477,0,7,57,7057,1,28,7028,1,28,7028,0,0,0.0000000,0.0000000,7057,42240.166176483726000,111514477.413332270000000,1
478,478,0,7,58,7058,1,29,7029,1,29,7029,0,0,0.0000000,0.0000000,7058,42240.155677760617000,111514421.979916510000000,1
479,479,0,7,59,7059,1,30,7030,1,30,7030,0,0,0.0000000,0.0000000,7059,42240.145507140049000,111514368.278875260000000,1
480,480,0,7,60,7060,1,31,7031,1,31,7031,0,0,0.0000000,0.0000000,7060,42240.135008426543000,111514312.845484150000000,1
481,481,0,7,61,7061,0,0,0,0,0,0,0,0,0.0000000,0.0000000,7061,42240.124509727160000,111514257.412147330000000,0
482,482,0,7,62,7062,0,0,0,0,0,0,0,0,0.0000000,0.0000000,7062,42240.114011026919000,111514201.978795840000000,0
483,483,0,7,63,7063,0,0,0,0,0,0,0,0,0.0000000,0.0000000,7063,42240.288879207073000,111515125.285270110000000,0
484,484,0,7,64,7064,0,0,0,0,0,0,0,0,0.0000000,0.0000000,7064,42240.630085626188000,111516926.859470930000000,0
